Episode 10 complete | Last loss: 2.8170
Episode 20 complete | Last loss: 3.0136
Episode 30 complete | Last loss: 4.5147
Episode 40 complete | Last loss: 2.5924
Episode 50 complete | Last loss: 5.7313
Episode 60 complete | Last loss: 3.2753
Episode 70 complete | Last loss: 4.5532
Episode 80 complete | Last loss: 4.4387
Episode 90 complete | Last loss: 2.9751
Episode 100 complete | Last loss: 3.3964
Episode 110 complete | Last loss: 3.5623
Episode 120 complete | Last loss: 3.2665
Episode 130 complete | Last loss: 5.0249
Episode 140 complete | Last loss: 4.9752
Episode 150 complete | Last loss: 3.2203
Episode 160 complete | Last loss: 3.6266
Episode 170 complete | Last loss: 3.4339
Episode 180 complete | Last loss: 3.7545
Episode 190 complete | Last loss: 3.5654
Episode 200 complete | Last loss: 2.5978
Episode 210 complete | Last loss: 3.4481
Episode 220 complete | Last loss: 3.5423
Episode 230 complete | Last loss: 2.1334
Episode 240 complete | Last loss: 3.3278
Episode 250 complete | Last loss: 2.7352
Episode 260 complete | Last loss: 2.2140
Episode 270 complete | Last loss: 3.3153
Episode 280 complete | Last loss: 3.1793
Episode 290 complete | Last loss: 3.5962
Episode 300 complete | Last loss: 1.9638
Episode 310 complete | Last loss: 2.1036
Episode 320 complete | Last loss: 1.8204
Episode 330 complete | Last loss: 1.7347
Episode 340 complete | Last loss: 1.7661
Episode 350 complete | Last loss: 2.0767
Episode 360 complete | Last loss: 1.9056
Episode 370 complete | Last loss: 1.9439
Episode 380 complete | Last loss: 1.9951
Episode 390 complete | Last loss: 1.6376
Episode 400 complete | Last loss: 2.2913
Episode 410 complete | Last loss: 2.1286
Episode 420 complete | Last loss: 2.7113
Episode 430 complete | Last loss: 2.8835
Episode 440 complete | Last loss: 2.6239
Episode 450 complete | Last loss: 1.6985
Episode 460 complete | Last loss: 2.0728
Episode 470 complete | Last loss: 2.4069
Episode 480 complete | Last loss: 1.4806
Episode 490 complete | Last loss: 2.2917
Episode 500 complete | Last loss: 2.1462
Episode 510 complete | Last loss: 2.0696
Episode 520 complete | Last loss: 1.5689
Episode 530 complete | Last loss: 2.5842
Episode 540 complete | Last loss: 2.7411
Episode 550 complete | Last loss: 2.1149
Episode 560 complete | Last loss: 1.0506
Episode 570 complete | Last loss: 1.7133
Episode 580 complete | Last loss: 2.1812
Episode 590 complete | Last loss: 1.8220
Episode 600 complete | Last loss: 2.3866
Episode 610 complete | Last loss: 2.4962
Episode 620 complete | Last loss: 1.4434
Episode 630 complete | Last loss: 2.2622
Episode 640 complete | Last loss: 1.9559
Episode 650 complete | Last loss: 1.5005
Episode 660 complete | Last loss: 1.4355
Episode 670 complete | Last loss: 2.0814
Episode 680 complete | Last loss: 2.2357
Episode 690 complete | Last loss: 2.1939
Episode 700 complete | Last loss: 2.7903
Episode 710 complete | Last loss: 2.3246
Episode 720 complete | Last loss: 1.6286
Episode 730 complete | Last loss: 1.8565
Episode 740 complete | Last loss: 1.8509
Episode 750 complete | Last loss: 2.4039
Episode 760 complete | Last loss: 2.4901
Episode 770 complete | Last loss: 2.7415
Episode 780 complete | Last loss: 2.3063
Episode 790 complete | Last loss: 1.8144
Episode 800 complete | Last loss: 2.3968
Episode 810 complete | Last loss: 2.7862
Episode 820 complete | Last loss: 1.4586
Episode 830 complete | Last loss: 1.1114
Episode 840 complete | Last loss: 0.9684
Episode 850 complete | Last loss: 1.8276
Episode 860 complete | Last loss: 1.9317
Episode 870 complete | Last loss: 2.6007
Episode 880 complete | Last loss: 2.0886
Episode 890 complete | Last loss: 2.2207
Episode 900 complete | Last loss: 2.3852
Episode 910 complete | Last loss: 1.3310
Episode 920 complete | Last loss: 1.7942
Episode 930 complete | Last loss: 2.3709
Episode 940 complete | Last loss: 2.1800
Episode 950 complete | Last loss: 1.8440
Episode 960 complete | Last loss: 3.0444
Episode 970 complete | Last loss: 1.4805
Episode 980 complete | Last loss: 1.4431
Episode 990 complete | Last loss: 1.6109
Episode 1000 complete | Last loss: 2.4476
Episode 1010 complete | Last loss: 2.2508
Episode 1020 complete | Last loss: 2.8499
Episode 1030 complete | Last loss: 1.6564
Episode 1040 complete | Last loss: 1.8116
Episode 1050 complete | Last loss: 1.9008
Episode 1060 complete | Last loss: 2.0396
Episode 1070 complete | Last loss: 1.7919
Episode 1080 complete | Last loss: 1.9179
Episode 1090 complete | Last loss: 1.5102
Episode 1100 complete | Last loss: 1.8445
Episode 1110 complete | Last loss: 1.4455
Episode 1120 complete | Last loss: 1.6693
Episode 1130 complete | Last loss: 2.0880
Episode 1140 complete | Last loss: 1.8485
Episode 1150 complete | Last loss: 2.0435
Episode 1160 complete | Last loss: 1.4221
